ts,open,high,low,close,volume
2025-08-09,23981.0,24018.0,23961.0,24011.0,11783
2025-08-11,23967.0,24222.0,23833.0,24162.0,155204
2025-08-12,24162.0,24292.0,24071.0,24275.0,172244
2025-08-13,24275.0,24439.0,24154.0,24344.0,189566
2025-08-14,24343.0,24363.0,24194.0,24277.0,150330
2025-08-15,24278.0,24384.0,24138.0,24178.0,162163
2025-08-16,24177.0,24197.0,24142.0,24151.0,12767
2025-08-18,24196.0,24462.0,24176.0,24402.0,128554
2025-08-19,24401.0,24447.0,24267.0,24282.0,122007
2025-08-20,24282.0,24294.0,23529.0,23630.0,214257
2025-08-21,23630.0,23943.0,23627.0,23828.0,211998
2025-08-22,23827.0,24108.0,23708.0,24060.0,233679
2025-08-23,24060.0,24122.0,24034.0,24116.0,19543
2025-08-25,24123.0,24313.0,24071.0,24234.0,165877
2025-08-26,24234.0,24342.0,24090.0,24318.0,158988
2025-08-27,24318.0,24496.0,24282.0,24451.0,154023
2025-08-28,24451.0,24488.0,24204.0,24403.0,207572
2025-08-29,24403.0,24453.0,24033.0,24073.0,210490
2025-08-30,24071.0,24120.0,24055.0,24064.0,13718
2025-09-01,24130.0,24246.0,23847.0,24076.0,184936
2025-09-02,24078.0,24250.0,23690.0,23743.0,282921
2025-09-03,23745.0,24188.0,23741.0,24109.0,225772
2025-09-04,24109.0,24365.0,24000.0,24232.0,244015
2025-09-05,24231.0,24548.0,24209.0,24387.0,232721
2025-09-06,24389.0,24507.0,24385.0,24474.0,23582
2025-09-08,24579.0,24678.0,24516.0,24674.0,152533
2025-09-09,24675.0,24880.0,24646.0,24866.0,191982
2025-09-10,24867.0,25475.0,24860.0,25436.0,212867
2025-09-11,25436.0,25465.0,25176.0,25405.0,218719
2025-09-12,25405.0,25465.0,25318.0,25382.0,149525
2025-09-13,25382.0,25441.0,25370.0,25383.0,11045
2025-09-15,25405.0,25450.0,25270.0,25426.0,138875
2025-09-16,25425.0,25663.0,25390.0,25515.0,138226
2025-09-17,25514.0,25615.0,25400.0,25538.0,133118
2025-09-18,25538.0,25888.0,25350.0,25798.0,313512
2025-09-19,25799.0,25862.0,25635.0,25719.0,178788
2025-09-20,25720.0,25755.0,25712.0,25740.0,11158
2025-09-22,25757.0,25940.0,25689.0,25911.0,158608
2025-09-23,25911.0,26544.0,25905.0,26437.0,252303
2025-09-24,26438.0,26465.0,26072.0,26136.0,234313
2025-09-25,26136.0,26282.0,25845.0,26049.0,238639
2025-09-26,26049.0,26065.0,25500.0,25673.0,289295
2025-09-27,25670.0,25790.0,25666.0,25739.0,19451
2025-09-30,25792.0,26125.0,25792.0,26072.0,166485
2025-10-01,26071.0,26375.0,25918.0,26322.0,253460
2025-10-02,26323.0,26607.0,26321.0,26464.0,236846
2025-10-03,26463.0,26846.0,26388.0,26780.0,214228
2025-10-04,26780.0,26794.0,26632.0,26677.0,25607
2025-10-07,27217.0,27397.0,26998.0,27070.0,207587
2025-10-08,27069.0,27356.0,26909.0,27347.0,218123
2025-10-09,27347.0,27456.0,27125.0,27203.0,211058
2025-10-10,27203.0,27203.0,27058.0,27106.0,24926
2025-10-13,26424.0,27195.0,26380.0,27189.0,227079
2025-10-14,27188.0,27450.0,26500.0,26892.0,316822
2025-10-15,26891.0,27565.0,26736.0,27383.0,248704
2025-10-16,27384.0,27878.0,27230.0,27592.0,371293
2025-10-17,27594.0,27649.0,27037.0,27386.0,373022
2025-10-18,27388.0,27483.0,27328.0,27455.0,39043
2025-10-20,27459.0,27952.0,27432.0,27903.0,218702
2025-10-21,27903.0,28036.0,27727.0,27846.0,253804
2025-10-22,27845.0,27874.0,27454.0,27516.0,289090
2025-10-23,27519.0,27728.0,27311.0,27704.0,259679
2025-10-24,27705.0,27804.0,27700.0,27732.0,23016
2025-10-27,28234.0,28288.0,28065.0,28142.0,174516
2025-10-28,28142.0,28320.0,27952.0,28094.0,193333
2025-10-29,28095.0,28525.0,28092.0,28418.0,202173
2025-10-30,28419.0,28551.0,28181.0,28236.0,287701
2025-10-31,28236.0,28589.0,28200.0,28266.0,237630
2025-11-01,28266.0,28330.0,28148.0,28262.0,41531
2025-11-03,28380.0,28583.0,28230.0,28422.0,208025
2025-11-04,28421.0,28595.0,28006.0,28163.0,304426
